,apparel_brands,official_apparel_brands,apparel_full_brand_names,firm_account,brand_full_name,brand_category,beverage_brands,beverage_full_brand_names,official_beverage_brands,instagram_hashtag
0,abercrombie,abercrombie, Abercrombie & Fitch,abercrombie, Abercrombie & Fitch,apparel,,,,abercrombie
1,adidas,adidas, Adidas,adidas, Adidas,apparel,,,,adidas
2,anntaylor,anntaylor, Ann Taylor,anntaylor, Ann Taylor,apparel,,,,anntaylor
3,bananarepublic,bananarepublic, Banana Republic,bananarepublic, Banana Republic,apparel,,,,bananarepublic
4,carhartt,carhartt, Carhartt,carhartt, Carhartt,apparel,,,,carhartt
5,converse,converse, Converse,converse, Converse,apparel,,,,converse
6,dockers,dockerskhakis, Dockers,dockerskhakis, Dockers,apparel,,,,dockers
7,dolcegabbana,dolcegabbana, Dolce & Gabbana,dolcegabbana, Dolce & Gabbana,apparel,,,,dolcegabbana
8,eddiebauer,eddiebauer, Eddie Bauer,eddiebauer, Eddie Bauer,apparel,,,,eddiebauer
9,gap,gap, Gap,gap, Gap,apparel,,,,gap
10,gucci,gucci, Gucci,gucci, Gucci,apparel,,,,gucci
11,guess,guess, Guess,guess, Guess,apparel,,,,guess
12,hanes,hanesbrasil, Hanes,hanesbrasil, Hanes,apparel,,,,hanes
13,hollister,hollisterco, Hollister,hollisterco, Hollister,apparel,,,,hollister
14,jcrew,jcrew, J. Crew,jcrew, J. Crew,apparel,,,,jcrew
15,joeboxer,joeboxerlicky, Joe Boxer,joeboxerlicky, Joe Boxer,apparel,,,,joeboxer
16,juicycouture,juicycouture, Juicy Couture,juicycouture, Juicy Couture,apparel,,,,juicycouture
17,kennethcole,kennethcole, Kenneth Cole,kennethcole, Kenneth Cole,apparel,,,,kennethcole
18,levis,levis,Levi's,levis,Levi's,apparel,,,,levis
19,llbean,llbean, L.L. Bean,llbean, L.L. Bean,apparel,,,,llbean
20,luckybrand,luckybrandme, Lucky Brand Jeans,luckybrandme, Lucky Brand Jeans,apparel,,,,luckybrand
21,oldnavy,oldnavy, Old Navy,oldnavy, Old Navy,apparel,,,,oldnavy
22,oshkosh,oshkoshkids, OshKosh,oshkoshkids, OshKosh,apparel,,,,oshkosh
23,prada,prada, Prada,prada, Prada,apparel,,,,prada
24,ralphlauren,ralphlauren, Ralph Lauren,ralphlauren, Ralph Lauren,apparel,,,,ralphlauren
25,tommyhilfiger,tommyhilfiger, Tommy Hilfiger,tommyhilfiger, Tommy Hilfiger,apparel,,,,tommyhilfiger
26,underarmour,underarmour, Under Armour,underarmour, Under Armour,apparel,,,,underarmour
27,urbanoutfitters,urbanoutfitters, Urban Outfitters,urbanoutfitters, Urban Outfitters,apparel,,,,urbanoutfitters
28,victoriassecret,victoriassecret,Victoria's Secret,victoriassecret,Victoria's Secret,apparel,,,,victoriassecret
29,,,,bacardiusa, Bacardi,beverage,bacardi, Bacardi,bacardiusa,bacardi
30,,,,bigelowtea,Bigelow's Tea,beverage,bigelow,Bigelow's Tea,bigelowtea,bigelow
31,,,,budlight, Bud Light,beverage,budlight, Bud Light,budlight,budlight
32,,,,budweiser, Budweiser,beverage,budweiser, Budweiser,budweiser,budweiser
33,,,,cocacola, Coca-Cola,beverage,cocacola, Coca-Cola,cocacola,cocacola
34,,,,coorslight, Coors Light,beverage,coorslight, Coors Light,coorslight,coorslight
35,,,,corona, Corona,beverage,corona, Corona,corona,corona
36,,,,domperignon, Dom Perignon,beverage,domperignon, Dom Perignon,domperignon,domperignon
37,,,,drpepper, Dr Pepper,beverage,drpepper, Dr Pepper,drpepper,drpepper
38,,,,fanta, Fanta,beverage,fanta, Fanta,fanta,fanta
39,,,,gatorade, Gatorade,beverage,gatorade, Gatorade,gatorade,gatorade
40,,,,greygoose, Grey Goose,beverage,greygoose, Grey Goose,greygoose,greygoose
41,,,,honesttea, Honest Tea,beverage,honesttea, Honest Tea,honesttea,honesttea
42,,,,jackdaniels_us,Jack Daniel's,beverage,jackdaniels,Jack Daniel's,jackdaniels_us,jackdaniels
43,,,,korbel_1882, Korbel,beverage,korbel, Korbel,korbel_1882,korbel
44,,,,lipton, Lipton,beverage,lipton, Lipton,lipton,lipton
45,,,,moetchandon, Moet & Chandon,beverage,moetchandon, Moet & Chandon,moetchandon,moetchandon
46,,,,monsterenergy,Monster,beverage,monsterenergy,Monster,monsterenergy,monsterenergy
47,,,,nesquikusa, NesQuik,beverage,nesquik, NesQuik,nesquikusa,nesquik
48,,,,sanpellegrino_official, San Pellegrino,beverage,sanpellegrino, San Pellegrino,sanpellegrino_official,sanpellegrino
49,,,,snapple, Snapple,beverage,snapple, Snapple,snapple,snapple
50,,,,tazo, Tazo,beverage,tazo, Tazo,tazo,tazo
51,,,,vitaminwater,Vitaminwater,beverage,vitaminwater,Vitaminwater,vitaminwater,vitaminwater
52,,,,welchs,Welch's,beverage,welchs,Welch's,welchs,welchs
53,,,,, Minute Maid,beverage,minutemaid, Minute Maid,,minutemaid
54,,,,,Mott's,beverage,motts,Mott's,,motts
55,,,,, Swiss Miss,beverage,swissmiss, Swiss Miss,,swissmiss
